Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Delivery_Status,Customer_Rating,Salesperson
ORD-00015,2025-05-24,CUST-1698,Pooja Gupta,Male,34,Bengaluru,Karnataka,South,Electronics,Mobile,iPhone 13,4,51842.6,0.2,165896.32,180461.25,-14564.93,Debit Card,Delivered,1.0,Rohan Patil
ORD-00016,2024-08-12,CUST-6791,Priya Shaikh,Male,43,Warangal,Telangana,South,Grocery,Personal Care,Soap Pack,2,199.09,0.0,398.17,275.71,122.46,Debit Card,Delivered,4.0,Rohan Patil
ORD-00017,2024-10-06,CUST-9800,Pooja Kadam,Male,33,Hubli,Karnataka,South,Clothing,Men Wear,T-Shirt,7,728.26,0.0,5097.82,4125.85,971.97,Net Banking,Delivered,1.0,Priya Joshi
ORD-00018,2025-02-06,CUST-2843,Riya Shaikh,Male,24,Nagpur,Maharashtra,West,Furniture,Storage,Bookshelf,4,6006.87,0.1,21624.73,20259.33,1365.4,Cash,Delivered,1.0,Neha Singh
ORD-00019,2025-04-17,CUST-7287,Sakshi Reddy,Female,24,Coimbatore,Tamil Nadu,South,Clothing,Men Wear,Formal Shirt,1,1277.71,0.05,1213.83,1070.47,143.35,Credit Card,Delivered,2.0,Priya Joshi
ORD-00020,2024-09-10,CUST-8400,Vivaan Jadhav,Female,26,Pune,Maharashtra,West,Clothing,Women Wear,Dress,1,2004.32,0.0,2004.32,1761.85,242.47,Net Banking,Pending,3.0,Karan Mehta
ORD-00021,2024-04-29,CUST-5199,Ishaan Deshmukh,Female,53,Bengaluru,Karnataka,South,Grocery,Packaged Food,Wheat Flour,3,517.04,0.15,1318.45,1319.45,-1.0,Cash,Pending,4.0,Priya Joshi
ORD-00022,2024-12-03,CUST-9352,Riya Iyer,Female,53,Rohini,Delhi,North,Grocery,Packaged Food,Wheat Flour,6,459.81,0.0,2758.89,2186.45,572.44,Credit Card,Delivered,4.0,Neha Singh
ORD-00023,2025-01-26,CUST-9050,Kiara Sharma,Female,29,Howrah,West Bengal,East,Grocery,Packaged Food,Wheat Flour,1,498.51,0.0,498.51,356.58,141.94,Debit Card,Pending,5.0,Amit Verma
ORD-00024,2025-08-31,CUST-8683,Aarav Sharma,Male,36,Kolhapur,Maharashtra,West,Furniture,Storage,Bookshelf,3,6375.3,0.1,17213.32,15810.45,1402.87,Credit Card,Delivered,3.0,Neha Singh
ORD-00025,2024-02-15,CUST-4420,Aditya Singh,Male,41,Mumbai,Maharashtra,West,Electronics,Mobile,OnePlus Nord,1,23173.49,0.2,18538.79,17199.03,1339.76,Credit Card,Pending,1.0,Sneha Sharma
ORD-00026,2024-07-09,CUST-9319,Om Gupta,Male,20,Rajkot,Gujarat,West,Furniture,Storage,Bookshelf,6,6446.91,0.2,30945.19,32561.39,-1616.21,UPI,Delivered,2.0,Priya Joshi
ORD-00027,2025-11-16,CUST-8806,Atharv Deshmukh,Female,19,Salem,Tamil Nadu,South,Grocery,Packaged Food,Rice Bag,1,883.85,0.15,751.27,761.71,-10.43,Debit Card,Delivered,3.0,Priya Joshi
ORD-00028,2024-09-02,CUST-2841,Vivaan Deshmukh,Female,52,Howrah,West Bengal,East,Grocery,Beverages,Juice Bottle,2,158.0,0.1,284.39,253.18,31.21,UPI,Delivered,1.0,Neha Singh
ORD-00029,2024-01-20,CUST-7002,Atharv Jadhav,Female,29,Bengaluru,Karnataka,South,Grocery,Personal Care,Soap Pack,5,185.68,0.0,928.39,727.16,201.23,Debit Card,Delivered,4.0,Sneha Sharma
ORD-00030,2025-10-26,CUST-5777,Sara Khan,Female,39,Salem,Tamil Nadu,South,Furniture,Table,Work Desk,2,7479.36,0.05,14210.79,9414.2,4796.59,Net Banking,Delivered,3.0,Sneha Sharma
ORD-00031,2025-09-11,CUST-5142,Aditya Verma,Male,47,Mangalore,Karnataka,South,Electronics,Mobile,Samsung M14,4,13610.73,0.15,46276.47,37598.33,8678.14,UPI,Delivered,3.0,Om Kadam
ORD-00032,2024-04-15,CUST-6177,Diya Shaikh,Male,45,Coimbatore,Tamil Nadu,South,Grocery,Beverages,Coffee Pack,7,375.91,0.0,2631.39,2294.78,336.61,Cash,Delivered,2.0,Priya Joshi
ORD-00033,2025-10-02,CUST-8404,Sara Verma,Male,42,Mumbai,Maharashtra,West,Grocery,Packaged Food,Biscuits,5,188.95,0.0,944.75,690.95,253.79,UPI,Delivered,5.0,Om Kadam
ORD-00034,2024-09-03,CUST-3744,Priya Deshmukh,Male,39,Udaipur,Rajasthan,North,Grocery,Personal Care,Toothpaste,1,159.84,0.1,143.86,122.14,21.72,Credit Card,Unknown,5.0,Neha Singh
ORD-00035,2025-03-28,CUST-8421,Vivaan Gupta,Male,56,Jaipur,Rajasthan,North,Furniture,Table,Work Desk,6,7476.57,0.0,44859.41,31444.99,13414.42,UPI,Delivered,5.0,Neha Singh
ORD-00036,2024-06-28,CUST-5611,Karan Verma,Male,18,Nagpur,Maharashtra,West,Electronics,Mobile,Realme Narzo,7,11131.35,0.2,62335.53,66273.34,-3937.81,Debit Card,Delivered,2.0,Om Kadam
ORD-00037,2025-11-20,CUST-6732,Sakshi Sharma,Female,60,New Delhi,Delhi,North,Electronics,Mobile,Samsung M14,1,14821.47,0.1,13339.32,12275.83,1063.49,UPI,Delivered,4.0,Neha Singh
ORD-00038,2024-10-11,CUST-9967,Om Gupta,Male,52,Salem,Tamil Nadu,South,Electronics,Accessories,Keyboard,3,945.09,0.1,2551.74,1910.23,641.51,UPI,Delivered,5.0,Rohan Patil
ORD-00039,2024-07-14,CUST-1728,Kabir Jadhav,Female,53,Mangalore,Karnataka,South,Clothing,Women Wear,Dress,2,2057.09,0.0,4114.17,2829.65,1284.53,UPI,Delivered,5.0,Amit Verma
ORD-00040,2024-07-10,CUST-3143,Aditya Patil,Male,56,Hyderabad,Telangana,South,Clothing,Women Wear,Saree,5,2411.85,0.0,12059.24,9830.21,2229.03,Debit Card,Delivered,5.0,Priya Joshi
ORD-00041,2024-09-29,CUST-1698,Ishaan Verma,Male,30,Bengaluru,Karnataka,South,Furniture,Storage,Wardrobe,4,21749.07,0.1,78296.65,71004.72,7291.93,Credit Card,Delivered,3.0,Amit Verma
ORD-00042,2024-09-21,CUST-6486,Rahul Shaikh,Female,36,Mysuru,Karnataka,South,Clothing,Women Wear,Dress,1,1856.19,0.2,1484.95,1559.67,-74.72,Net Banking,Delivered,5.0,Karan Mehta
ORD-00043,2025-04-28,CUST-6305,Ishaan Mehta,Male,59,Ahmedabad,Gujarat,West,Clothing,Footwear,Sneakers,5,2416.32,0.0,12081.59,9603.11,2478.48,Cash,Returned,2.0,Rohan Patil
ORD-00044,2025-08-10,CUST-2542,Kabir Jadhav,Female,55,Mysuru,Karnataka,South,Clothing,Women Wear,Dress,5,2074.81,0.05,9855.36,8335.73,1519.63,Cash,Delivered,5.0,Neha Singh
ORD-00045,2024-01-29,CUST-2365,Pooja Shaikh,Male,18,Rajkot,Gujarat,West,Clothing,Men Wear,Formal Shirt,2,1277.52,0.15,2171.78,1681.52,490.27,Net Banking,Delivered,4.0,Amit Verma
ORD-00046,2024-03-10,CUST-5186,Anaya Joshi,Male,56,Pune,Maharashtra,West,Clothing,Men Wear,T-Shirt,1,749.02,0.2,599.22,611.11,-11.89,Credit Card,Delivered,2.0,Priya Joshi
ORD-00047,2024-08-07,CUST-4072,Ishaan Singh,Female,58,Karimnagar,Telangana,South,Electronics,Mobile,Samsung M14,2,13618.79,0.05,25875.71,18683.82,7191.88,Debit Card,Delivered,3.0,Rohan Patil
ORD-00048,2025-02-12,CUST-7316,Vivaan Mehta,Female,49,Durgapur,West Bengal,East,Furniture,Table,Work Desk,5,7663.05,0.05,36399.49,28514.44,7885.05,UPI,Pending,5.0,Amit Verma
ORD-00049,2024-08-16,CUST-4376,Atharv Reddy,Male,58,Nagpur,Maharashtra,West,Furniture,Storage,Bookshelf,7,6374.43,0.05,42389.99,39184.9,3205.09,Debit Card,Delivered,1.0,Om Kadam
ORD-00050,2024-01-12,CUST-1667,Anaya Verma,Male,41,Karimnagar,Telangana,South,Furniture,Chair,Office Chair,5,6188.02,0.05,29393.08,25112.4,4280.68,UPI,Returned,5.0,Priya Joshi
ORD-00051,2024-06-26,CUST-8102,Sara Kadam,Male,44,Mumbai,Maharashtra,West,Clothing,Women Wear,Dress,2,1899.25,0.05,3608.57,2704.04,904.53,Credit Card,Delivered,1.0,Om Kadam
ORD-00052,2025-07-11,CUST-2838,Diya Shaikh,Male,22,Mangalore,Karnataka,South,Electronics,Laptop,Lenovo Ideapad,1,48475.25,0.15,41203.96,38684.71,2519.25,Net Banking,Delivered,1.0,Priya Joshi
ORD-00053,2024-01-05,CUST-8449,Diya Iyer,Female,49,Howrah,West Bengal,East,Furniture,Chair,Office Chair,2,5598.51,0.15,9517.46,8547.94,969.52,Credit Card,Delivered,1.0,Amit Verma
ORD-00054,2024-04-14,CUST-3000,Priya Reddy,Male,23,Ahmedabad,Gujarat,West,Clothing,Women Wear,Top,6,841.08,0.05,4794.16,3212.15,1582.01,UPI,Delivered,5.0,Rohan Patil
ORD-00055,2025-07-18,CUST-7600,Vivaan Sharma,Male,31,Hubli,Karnataka,South,Furniture,Storage,Wardrobe,7,22878.65,0.15,136127.94,123658.44,12469.5,Cash,Returned,1.0,Karan Mehta
ORD-00056,2025-05-02,CUST-1249,Neha Verma,Male,43,Warangal,Telangana,South,Clothing,Women Wear,Kurti,3,962.99,0.0,2888.98,2450.83,438.15,Credit Card,Delivered,2.0,Karan Mehta
ORD-00057,2024-02-23,CUST-5719,Aarav Singh,Female,34,Madurai,Tamil Nadu,South,Electronics,Accessories,Power Bank,6,1564.31,0.05,8916.58,7898.85,1017.74,UPI,Returned,5.0,Om Kadam
ORD-00058,2025-12-04,CUST-8002,Sakshi Reddy,Female,47,Madurai,Tamil Nadu,South,Grocery,Packaged Food,Cooking Oil,5,816.82,0.15,3471.47,3491.15,-19.68,Credit Card,Delivered,3.0,Neha Singh
ORD-00059,2024-11-30,CUST-5892,Kabir Iyer,Female,22,Hubli,Karnataka,South,Clothing,Footwear,Sandals,7,1035.19,0.05,6884.0,5342.25,1541.75,Debit Card,Delivered,4.0,Neha Singh
ORD-00060,2024-03-09,CUST-2906,Neha Deshmukh,Male,60,Surat,Gujarat,West,Furniture,Table,Dining Table,2,20295.76,0.05,38561.94,27892.2,10669.74,Credit Card,Returned,1.0,Neha Singh
ORD-00061,2025-06-03,CUST-4266,Riya Mehta,Male,49,Rohini,Delhi,North,Grocery,Personal Care,Shampoo,7,234.18,0.0,1639.27,1075.52,563.75,Debit Card,Delivered,3.0,Sneha Sharma
ORD-00062,2024-01-05,CUST-7376,Rahul Deshmukh,Male,23,Karimnagar,Telangana,South,Clothing,Women Wear,Top,5,859.48,0.1,3867.67,2914.51,953.16,UPI,Delivered,4.0,Sneha Sharma
ORD-00063,2024-03-13,CUST-3878,Riya Singh,Female,47,Jodhpur,Rajasthan,North,Furniture,Storage,Bookshelf,2,6377.39,0.0,12754.77,9002.65,3752.12,Credit Card,Delivered,5.0,Neha Singh
ORD-00064,2024-09-09,CUST-9150,Kiara Kulkarni,Female,31,Kolkata,West Bengal,East,Furniture,Storage,Wardrobe,1,21213.65,0.15,18031.6,17279.52,752.08,Credit Card,Returned,2.0,Sneha Sharma
ORD-00065,2024-01-03,CUST-8673,Sakshi Shaikh,Male,35,New Delhi,Delhi,North,Electronics,Mobile,Realme Narzo,5,11158.77,0.0,55793.83,36523.22,19270.61,Credit Card,Pending,3.0,Om Kadam
ORD-00066,2025-12-14,CUST-7288,Diya Joshi,Male,42,Mangalore,Karnataka,South,Grocery,Personal Care,Toothpaste,3,142.86,0.0,428.58,307.76,120.82,Cash,Delivered,5.0,Neha Singh
ORD-00067,2024-05-25,CUST-7891,Aarav Verma,Female,25,Warangal,Telangana,South,Grocery,Packaged Food,Wheat Flour,4,496.92,0.05,1888.3,1567.68,320.63,Credit Card,Delivered,3.0,Om Kadam
ORD-00068,2025-03-18,CUST-2460,Karan Khan,Female,50,Mangalore,Karnataka,South,Furniture,Chair,Study Chair,2,2412.54,0.05,4583.84,3801.87,781.96,Net Banking,Delivered,5.0,Rohan Patil
ORD-00069,2025-03-21,CUST-9434,Karan Singh,Female,20,Chennai,Tamil Nadu,South,Grocery,Packaged Food,Biscuits,6,194.71,0.05,1109.86,982.77,127.09,UPI,Delivered,5.0,Karan Mehta
ORD-00070,2024-03-15,CUST-6560,Anaya Joshi,Male,55,Howrah,West Bengal,East,Grocery,Personal Care,Soap Pack,4,214.83,0.15,730.43,661.48,68.95,Cash,Pending,2.0,Om Kadam
ORD-00071,2025-10-06,CUST-5208,Karan Khan,Male,50,Udaipur,Rajasthan,North,Clothing,Men Wear,T-Shirt,7,702.92,0.05,4674.41,4123.47,550.93,UPI,Delivered,4.0,Neha Singh
ORD-00072,2024-05-18,CUST-1009,Kiara Mehta,Female,23,Madurai,Tamil Nadu,South,Grocery,Packaged Food,Cooking Oil,7,825.49,0.1,5200.6,3713.78,1486.82,UPI,Returned,5.0,Amit Verma
ORD-00073,2025-08-18,CUST-4490,Kiara Iyer,Female,28,Durgapur,West Bengal,East,Electronics,Mobile,iPhone 13,7,53413.85,0.0,373896.95,298365.51,75531.45,Debit Card,Delivered,1.0,Neha Singh
ORD-00074,2025-01-10,CUST-6415,Kabir Singh,Male,18,Dwarka,Delhi,North,Electronics,Laptop,Asus Vivobook,5,48432.31,0.2,193729.22,157966.15,35763.07,UPI,Returned,4.0,Priya Joshi
ORD-00075,2024-10-17,CUST-5227,Om Joshi,Female,43,Hyderabad,Telangana,South,Furniture,Table,Coffee Table,5,4239.69,0.1,19078.62,14254.34,4824.28,Cash,Delivered,1.0,Rohan Patil
ORD-00076,2025-09-07,CUST-5670,Neha Shaikh,Male,40,Warangal,Telangana,South,Electronics,Laptop,Dell Inspiron,5,55776.08,0.1,250992.38,205676.16,45316.22,Credit Card,Delivered,1.0,Om Kadam
ORD-00077,2025-09-07,CUST-2202,Sara Iyer,Male,20,Karimnagar,Telangana,South,Furniture,Table,Work Desk,1,7813.89,0.05,7423.19,5925.14,1498.06,Credit Card,Delivered,2.0,Priya Joshi
ORD-00078,2024-08-18,CUST-1950,Neha Joshi,Female,54,Nashik,Maharashtra,West,Clothing,Footwear,Formal Shoes,4,3140.09,0.1,11304.31,9529.53,1774.78,Net Banking,Delivered,1.0,Sneha Sharma
ORD-00079,2024-04-27,CUST-8863,Aditya Deshmukh,Female,41,Jaipur,Rajasthan,North,Electronics,Laptop,HP Pavilion,6,56209.95,0.1,303533.72,252417.02,51116.7,UPI,Pending,5.0,Priya Joshi
ORD-00080,2025-02-14,CUST-3116,Neha Reddy,Female,60,Saket,Delhi,North,Furniture,Chair,Gaming Chair,5,11972.81,0.05,56870.84,49129.78,7741.06,Debit Card,Delivered,4.0,Sneha Sharma
ORD-00081,2024-01-23,CUST-8783,Pooja Mehta,Male,30,Udaipur,Rajasthan,North,Clothing,Women Wear,Saree,3,2682.56,0.0,8047.67,5465.26,2582.41,Net Banking,Delivered,2.0,Om Kadam
ORD-00082,2024-12-21,CUST-9795,Arjun Jadhav,Male,59,Mangalore,Karnataka,South,Electronics,Accessories,Bluetooth Earbuds,1,1920.96,0.1,1728.87,1487.15,241.71,Cash,Pending,2.0,Neha Singh
ORD-00083,2025-12-26,CUST-2645,Aarav Gupta,Male,43,Bengaluru,Karnataka,South,Electronics,Mobile,iPhone 13,1,52355.64,0.1,47120.08,45179.54,1940.54,UPI,Pending,4.0,Sneha Sharma
ORD-00084,2025-01-05,CUST-9393,Om Jadhav,Male,26,Coimbatore,Tamil Nadu,South,Grocery,Personal Care,Shampoo,6,262.45,0.0,1574.67,1103.81,470.87,Credit Card,Delivered,4.0,Priya Joshi
ORD-00085,2025-06-20,CUST-9609,Atharv Kulkarni,Male,44,Vadodara,Gujarat,West,Furniture,Storage,Shoe Rack,1,2300.93,0.0,2300.93,1664.78,636.15,Net Banking,Pending,3.0,Om Kadam
ORD-00086,2024-06-30,CUST-7320,Riya Gupta,Male,41,Rohini,Delhi,North,Electronics,Accessories,Bluetooth Earbuds,1,2026.85,0.0,2026.85,1737.65,289.2,Credit Card,Delivered,5.0,Neha Singh
ORD-00087,2024-02-18,CUST-6182,Kiara Sharma,Male,39,Warangal,Telangana,South,Furniture,Chair,Study Chair,7,2410.07,0.0,16870.49,11392.59,5477.9,Net Banking,Delivered,5.0,Neha Singh
ORD-00088,2025-03-10,CUST-5524,Arjun Sharma,Male,46,Ahmedabad,Gujarat,West,Electronics,Laptop,Asus Vivobook,1,44524.06,0.0,44524.06,32204.37,12319.69,Cash,Delivered,5.0,Karan Mehta
ORD-00089,2025-01-05,CUST-6797,Pooja Reddy,Male,47,Kolkata,West Bengal,East,Grocery,Beverages,Tea Pack,6,315.1,0.05,1796.08,1316.72,479.36,Credit Card,Delivered,3.0,Neha Singh
ORD-00090,2025-10-04,CUST-1054,Karan Deshmukh,Female,50,Jodhpur,Rajasthan,North,Furniture,Table,Work Desk,7,7490.88,0.0,52436.16,33539.79,18896.37,UPI,Delivered,4.0,Amit Verma
ORD-00091,2025-03-18,CUST-7722,Sara Reddy,Male,54,Udaipur,Rajasthan,North,Grocery,Personal Care,Toothpaste,2,157.75,0.05,299.72,240.87,58.86,Credit Card,Delivered,3.0,Om Kadam
ORD-00092,2024-03-28,CUST-6619,Rahul Gupta,Female,21,Chennai,Tamil Nadu,South,Clothing,Women Wear,Dress,1,2017.14,0.1,1815.43,1672.98,142.45,Cash,Delivered,5.0,Karan Mehta
ORD-00093,2024-01-07,CUST-2308,Anaya Khan,Female,36,Warangal,Telangana,South,Electronics,Laptop,Dell Inspiron,6,52402.91,0.0,314417.45,268212.96,46204.49,Debit Card,Delivered,4.0,Sneha Sharma
ORD-00094,2025-01-20,CUST-2279,Priya Patil,Female,54,Howrah,West Bengal,East,Clothing,Women Wear,Saree,2,2656.01,0.15,4515.21,3765.54,749.67,UPI,Delivered,1.0,Karan Mehta
ORD-00095,2024-12-29,CUST-5223,Sneha Singh,Male,40,Chennai,Tamil Nadu,South,Furniture,Storage,Wardrobe,2,23269.9,0.0,46539.8,40647.04,5892.76,Cash,Delivered,1.0,Om Kadam
ORD-00096,2024-08-24,CUST-7809,Aditya Mehta,Female,21,Salem,Tamil Nadu,South,Grocery,Beverages,Tea Pack,2,276.15,0.0,552.31,420.21,132.1,UPI,Delivered,2.0,Sneha Sharma
ORD-00097,2024-05-25,CUST-8184,Om Reddy,Male,51,Karimnagar,Telangana,South,Furniture,Table,Dining Table,5,18000.96,0.0,90004.79,56233.33,33771.45,Cash,Delivered,5.0,Priya Joshi
ORD-00098,2024-12-07,CUST-9801,Sara Mehta,Female,57,Howrah,West Bengal,East,Clothing,Women Wear,Top,1,798.68,0.1,718.81,517.31,201.5,Net Banking,Delivered,4.0,Amit Verma
ORD-00099,2025-04-20,CUST-3866,Priya Kulkarni,Male,60,Chennai,Tamil Nadu,South,Furniture,Table,Work Desk,5,8210.22,0.0,41051.1,35211.46,5839.64,Credit Card,Delivered,5.0,Neha Singh
ORD-00100,2024-01-11,CUST-2333,Sara Joshi,Male,52,Dwarka,Delhi,North,Furniture,Storage,Wardrobe,4,22952.83,0.0,91811.31,76904.87,14906.43,Debit Card,Delivered,2.0,Karan Mehta
ORD-00101,2024-10-15,CUST-8101,Arjun Kadam,Male,60,Ahmedabad,Gujarat,West,Furniture,Table,Work Desk,7,8208.47,0.2,45967.45,46568.98,-601.53,Credit Card,Delivered,3.0,Amit Verma
ORD-00102,2024-03-13,CUST-2639,Vivaan Singh,Male,60,Kolhapur,Maharashtra,West,Furniture,Table,Work Desk,5,7557.04,0.1,34006.66,28085.79,5920.87,Debit Card,Delivered,2.0,Amit Verma
ORD-00103,2024-06-20,CUST-5090,Sneha Khan,Male,54,Saket,Delhi,North,Electronics,Mobile,OnePlus Nord,1,23984.65,0.15,20386.95,19855.65,531.3,UPI,Returned,1.0,Priya Joshi
ORD-00104,2024-01-12,CUST-2750,Atharv Shaikh,Female,38,Kolkata,West Bengal,East,Electronics,Laptop,Asus Vivobook,5,48133.45,0.1,216600.54,181833.31,34767.23,Cash,Delivered,5.0,Rohan Patil
ORD-00105,2024-09-24,CUST-5873,Ishaan Kadam,Female,49,Warangal,Telangana,South,Electronics,Accessories,Bluetooth Earbuds,6,2042.89,0.2,9805.88,10478.5,-672.62,Net Banking,Delivered,1.0,Om Kadam
ORD-00106,2024-11-30,CUST-2500,Pooja Gupta,Female,40,Ahmedabad,Gujarat,West,Furniture,Chair,Study Chair,7,2521.31,0.05,16766.74,12378.13,4388.61,UPI,Delivered,2.0,Karan Mehta
ORD-00107,2025-05-04,CUST-1130,Om Iyer,Male,51,Salem,Tamil Nadu,South,Grocery,Beverages,Coffee Pack,7,422.11,0.15,2511.57,2077.12,434.45,Debit Card,Delivered,5.0,Amit Verma
ORD-00108,2025-06-10,CUST-9684,Sara Deshmukh,Female,30,Kolhapur,Maharashtra,West,Electronics,Mobile,iPhone 13,3,51641.17,0.1,139431.15,98685.13,40746.02,Credit Card,Delivered,2.0,Rohan Patil
ORD-00109,2025-02-17,CUST-4810,Anaya Patil,Male,49,Dwarka,Delhi,North,Furniture,Storage,Bookshelf,4,5742.68,0.0,22970.74,19438.43,3532.31,UPI,Delivered,3.0,Priya Joshi
ORD-00110,2024-11-13,CUST-8069,Kiara Mehta,Female,27,Jodhpur,Rajasthan,North,Grocery,Beverages,Tea Pack,7,275.53,0.0,1928.74,1240.22,688.52,Debit Card,Delivered,1.0,Neha Singh
ORD-00111,2024-01-03,CUST-5388,Sara Kulkarni,Female,35,Rajkot,Gujarat,West,Electronics,Accessories,Keyboard,7,887.69,0.1,5592.43,4238.33,1354.1,UPI,Delivered,1.0,Om Kadam
ORD-00112,2024-12-09,CUST-5805,Ishaan Verma,Female,54,Salem,Tamil Nadu,South,Electronics,Accessories,Keyboard,1,958.02,0.0,958.02,621.24,336.78,Net Banking,Delivered,3.0,Amit Verma
ORD-00113,2025-07-24,CUST-8274,Sakshi Joshi,Male,27,New Delhi,Delhi,North,Electronics,Mobile,OnePlus Nord,6,25452.63,0.0,152715.76,134039.21,18676.55,Cash,Delivered,2.0,Om Kadam
ORD-00114,2025-05-31,CUST-2913,Neha Mehta,Female,52,Rajkot,Gujarat,West,Electronics,Laptop,Dell Inspiron,1,52539.32,0.0,52539.32,43223.68,9315.64,Net Banking,Delivered,1.0,Karan Mehta
ORD-00115,2024-05-24,CUST-5675,Pooja Joshi,Male,42,Udaipur,Rajasthan,North,Electronics,Accessories,Bluetooth Earbuds,5,1922.31,0.05,9130.99,7186.65,1944.34,Cash,Delivered,5.0,Amit Verma
ORD-00116,2025-06-24,CUST-1954,Sara Gupta,Female,26,Ahmedabad,Gujarat,West,Electronics,Mobile,Samsung M14,2,13903.65,0.05,26416.94,19214.0,7202.94,Net Banking,Pending,2.0,Rohan Patil
ORD-00117,2025-08-24,CUST-5036,Om Iyer,Male,45,Saket,Delhi,North,Grocery,Beverages,Tea Pack,4,292.91,0.0,1171.64,946.79,224.85,Net Banking,Delivered,5.0,Neha Singh
ORD-00118,2024-04-24,CUST-2312,Kabir Reddy,Female,44,Jaipur,Rajasthan,North,Grocery,Beverages,Coffee Pack,1,371.01,0.15,315.36,279.81,35.55,UPI,Pending,3.0,Neha Singh
ORD-00119,2024-12-28,CUST-3469,Riya Deshmukh,Male,44,Mysuru,Karnataka,South,Clothing,Women Wear,Top,4,843.82,0.15,2868.98,2714.31,154.67,Net Banking,Delivered,4.0,Priya Joshi
ORD-00120,2024-01-31,CUST-4998,Kabir Sharma,Male,47,Nashik,Maharashtra,West,Electronics,Laptop,Dell Inspiron,7,58357.35,0.2,326801.14,302708.62,24092.51,UPI,Pending,2.0,Om Kadam
ORD-00121,2024-08-11,CUST-8009,Pooja Patil,Female,57,Karimnagar,Telangana,South,Electronics,Accessories,Power Bank,4,1512.47,0.1,5444.91,4157.85,1287.06,UPI,Delivered,4.0,Sneha Sharma
ORD-00122,2025-08-08,CUST-6084,Vivaan Jadhav,Male,32,Durgapur,West Bengal,East,Grocery,Personal Care,Soap Pack,5,207.91,0.0,1039.55,850.22,189.34,Cash,Delivered,4.0,Amit Verma
